hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 6.66677, -3.55996E-006, 6.66677, -3.55996E-006, 6.66677, -3.55996E-006, 0, 0
2, 0.00000, 6.66667, -2.36307E-009, 6.66667, -2.36309E-009, 6.66667, -2.36307E-009, 0, 0
3, 0.00000, 6.66667, -1.59037E-012, 6.66667, -1.59343E-012, 6.66667, -1.5807E-012, 0, 0
4, 0.00000, 6.66667, 3.58114E-015, 6.66667, 2.77396E-014, 6.66667, 3.00133E-014, 0, 0
5, 0.00000, 6.66667, 2.57501E-014, 6.66667, 2.41016E-014, 6.66667, 1.40972E-014, 0, 0
6, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
7, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
8, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
9, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
10, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
11, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
12, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
13, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
14, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
15, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
16, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
17, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
18, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
19, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
20, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
21, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
22, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
23, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
24, 0.00000, 6.66667, 2.52385E-014, 6.66667, 1.81899E-014, 6.66667, 2.18279E-014, 0, 0
